Datetime,Open,High,Low,Close,Volume
2022-01-13 09:30:00-05:00,320.4657897949219,320.8800048828125,319.1499938964844,319.6000061035156,805878
2022-01-13 09:31:00-05:00,319.55999755859375,319.8500061035156,319.29998779296875,319.489990234375,103940
2022-01-13 09:32:00-05:00,319.489990234375,320.0199890136719,319.4599914550781,319.9599914550781,95667
2022-01-13 09:33:00-05:00,320.0,320.30999755859375,319.7099914550781,319.9750061035156,101356
2022-01-13 09:34:00-05:00,319.42999267578125,319.7998962402344,319.42999267578125,319.7099914550781,85174
2022-01-13 09:35:00-05:00,319.5,319.8500061035156,319.42999267578125,319.5,89722
2022-01-13 09:36:00-05:00,319.0,319.1000061035156,318.80999755859375,319.04998779296875,123159
2022-01-13 09:37:00-05:00,319.5,319.55499267578125,319.3599853515625,319.55499267578125,90383
2022-01-13 09:38:00-05:00,319.75,319.9569091796875,319.4801025390625,319.4884948730469,80269
2022-01-13 09:39:00-05:00,320.0,320.0199890136719,319.5400085449219,319.6300048828125,93997
2022-01-13 09:40:00-05:00,319.25,319.5498962402344,319.2300109863281,319.260009765625,129234
2022-01-13 09:41:00-05:00,319.25,319.2650146484375,319.0299987792969,319.17999267578125,80449
2022-01-13 09:42:00-05:00,319.17999267578125,319.2099914550781,318.6000061035156,318.6400146484375,96897
2022-01-13 09:43:00-05:00,318.5,318.6899108886719,318.4200134277344,318.6899108886719,83999
2022-01-13 09:44:00-05:00,318.67999267578125,319.260009765625,318.55999755859375,319.1000061035156,95021
2022-01-13 09:45:00-05:00,319.0,319.0,318.8099060058594,318.82000732421875,69694
2022-01-13 09:46:00-05:00,319.0,319.1000061035156,319.0,319.1000061035156,50935
2022-01-13 09:47:00-05:00,319.36749267578125,319.3700866699219,319.239990234375,319.239990234375,59822
2022-01-13 09:48:00-05:00,319.25,319.25,319.17999267578125,319.18499755859375,108132
2022-01-13 09:49:00-05:00,319.17999267578125,319.40899658203125,319.17999267578125,319.3999938964844,34545
2022-01-13 09:50:00-05:00,319.05499267578125,319.2799987792969,319.04998779296875,319.1300048828125,76342
2022-01-13 09:51:00-05:00,319.0,319.0199890136719,318.9200134277344,318.94000244140625,45853
2022-01-13 09:52:00-05:00,319.0,319.04998779296875,318.8799133300781,318.8799133300781,36996
2022-01-13 09:53:00-05:00,318.25,318.32000732421875,318.2200012207031,318.30999755859375,105478
2022-01-13 09:54:00-05:00,318.375,318.5986022949219,318.2900085449219,318.44000244140625,93461
2022-01-13 09:55:00-05:00,318.5,318.7300109863281,318.4750061035156,318.7088928222656,72431
2022-01-13 09:56:00-05:00,318.75,318.82000732421875,318.7099914550781,318.80499267578125,60872
2022-01-13 09:57:00-05:00,319.0,319.2200012207031,318.9800109863281,319.2200012207031,53107
2022-01-13 09:58:00-05:00,319.125,319.2099914550781,319.04998779296875,319.1000061035156,72449
2022-01-13 09:59:00-05:00,318.82000732421875,320.29998779296875,318.6199951171875,318.7099914550781,77472
2022-01-13 10:00:00-05:00,318.87451171875,318.9700012207031,318.3500061035156,318.4313049316406,64287
2022-01-13 10:01:00-05:00,318.3399963378906,318.44000244140625,318.1700134277344,318.2799987792969,63902
2022-01-13 10:02:00-05:00,318.3299865722656,318.3900146484375,318.07000732421875,318.1000061035156,52697
2022-01-13 10:03:00-05:00,318.1026916503906,318.2499084472656,317.92999267578125,318.0299987792969,95074
2022-01-13 10:04:00-05:00,318.06451416015625,318.29998779296875,317.91650390625,317.97149658203125,71636
2022-01-13 10:05:00-05:00,317.98590087890625,318.1299133300781,317.8399963378906,317.8949890136719,51417
2022-01-13 10:06:00-05:00,317.9088134765625,317.9800109863281,317.7850036621094,317.9576110839844,65061
2022-01-13 10:07:00-05:00,317.92999267578125,318.1199951171875,317.8999938964844,317.9800109863281,72985
2022-01-13 10:08:00-05:00,318.0,318.3299865722656,318.0,318.3299865722656,68934
